"yarrowiacyc"	"Row Labels"	"Description"	"UniProt"	"CLB22 Gene Name"	"CLB22 GO (biological process)"	"CLB22 GO (cellular component)"	"CLB22 GO (molecular function)"	"WT_A"	"WT_B"	"WT_C"	"WT_D"	"F174_A"	"F174_B"	"F174_D"	"F174_E"	"UVF4_A"	"UVF4_B"	"UVF4_C"	"UVF4_D"	"UVF4_E"	"p"	"q"	"nWT"	"nF174"	"nUVF4"	"log2FoldChange(F174/WT)"	"log2FoldChange(UVF4/WT)"	"log2FoldChange(UVF4/F174)"	"PresentOnlyWT"	"PresentOnlyF174"	"PresentOnlyUVF4"	"AbsentOnlyWT"	"AbsentOnlyF174"	"AbsentOnlyUVF4"	"Pass pq"	"Pass FoldChange"	"PassUniquePresence"	"PassUniqueAbsence"	"PassOverall"	"pq WT vs F174"	"Similarity_Yarlip1.to.yarrowiacyc"	"Similarity_yarrowiacyc.to.Yarlip1"
G1FV3-24179-MONOMER	"jgi|Yarlip1|125708|fgenesh1_kg.5_#_261_#_TRINITY_DN6564_c0_g1_i1"	"jgi|Yarlip1|125708|fgenesh1_kg.5_#_261_#_TRINITY_DN6564_c0_g1_i1"	"Q6C753"	"YALI0E03696p"	"0"	"0"	"0"	"30.82733544100136"		"33.278885422920304"	"29.216346410048335"	"32.073911800730315"	"31.740790058203345"	"31.158781969936406"	"32.25030907231929"	"30.886238913299845"	"30.330387065732538"	"31.28028012804139"	"29.86983965656055"	"30.887051387690903"	"0.318931049203682"	"0.381852445322399"	"3"	"4"	"5"	"0.6984258006406705"	"-0.45676299439162094"	"-1.1551887950322914"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25306-MONOMER	"jgi|Yarlip1|124963|fgenesh1_kg.4_#_439_#_TRINITY_DN6237_c0_g1_i1"	"jgi|Yarlip1|124963|fgenesh1_kg.4_#_439_#_TRINITY_DN6237_c0_g1_i1"	"Q6C491"	"Serine protease (EC 3.4.21.-)"	"protein processing [GO:0016485]; regulation of fatty acid beta-oxidation [GO:0031998]"	"peroxisome [GO:0005777]"	"serine-type endopeptidase activity [GO:0004252]"		"25.195541924127586"		"24.10365599191711"					"29.33278943148439"				"25.312505764252"			"2"	"0"	"2"		"2.673048639845849"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25308-MONOMER	"jgi|Yarlip1|124964|fgenesh1_kg.4_#_440_#_TRINITY_DN8399_c0_g1_i1"	"jgi|Yarlip1|124964|fgenesh1_kg.4_#_440_#_TRINITY_DN8399_c0_g1_i1"	"Q6C490"	"YALI0E28787p"	"biosynthetic process [GO:0009058]"	"0"	"catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]"	"35.58971485145526"	"36.36535559587538"	"35.653565744195575"	"35.624736199377004"	"35.440319074605625"	"35.03194489492334"	"35.69217313814921"	"35.77193418626043"	"35.377812778428385"	"35.46795643485057"	"35.403150659571786"	"34.966901653088286"	"35.58773977665007"	"0.142696325304764"	"0.286656520555629"	"4"	"4"	"5"	"-0.3242502742411517"	"-0.44763083720798846"	"-0.12338056296683675"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-31132-MONOMER	"jgi|Yarlip1|130026|fgenesh1_kg.14_#_295_#_TRINITY_DN9769_c0_g1_i1"	"jgi|Yarlip1|130026|fgenesh1_kg.14_#_295_#_TRINITY_DN9769_c0_g1_i1"	"Q6CGQ3"	"YALI0A17314p"	"0"	"0"	"peptidyl-prolyl cis-trans isomerase activity [GO:0003755]"	"27.705367143075858"		"25.793176612940954"	"23.97657461133162"		"28.27362100764449"		"24.768906357597494"	"28.008491028716517"		"28.229250646242694"	"26.082168861742268"				"3"	"2"	"3"	"0.6962242268381758"	"1.6149307231176806"	"0.9187064962795048"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25311-MONOMER	"jgi|Yarlip1|124971|fgenesh1_kg.4_#_447_#_TRINITY_DN11050_c0_g1_i1"	"jgi|Yarlip1|124971|fgenesh1_kg.4_#_447_#_TRINITY_DN11050_c0_g1_i1"	"Q6C487"	"YALI0E28853p"	"0"	"cytoplasm [GO:0005737]"	"acyl-CoA hydrolase activity [GO:0047617]"	"32.21385777683544"	"31.61509397413493"	"30.662756903231514"	"33.26023466208118"	"33.099747065945"	"32.127229901983654"	"30.996155067325244"	"32.696804933377074"	"33.48930388750028"	"32.87219141336743"	"32.09169525565886"	"31.628162336986687"	"31.89076998917133"	"0.763472959752834"	"0.528623783286365"	"4"	"4"	"5"	"0.29199841308697927"	"0.45643874746615154"	"0.16444033437917227"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-30751-MONOMER	"jgi|Yarlip1|159621|gm1.3694_g"	"jgi|Yarlip1|159621|gm1.3694_g"	"Q6CHJ6"	"DNA-directed RNA polymerase subunit"	"mRNA cleavage [GO:0006379]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; termination of RNA polymerase I transcription [GO:0006363]"	"DNA-directed RNA polymerase I complex [GO:0005736]"	"nucleic acid binding [GO:0003676]; RNA polymerase I activity [GO:0001054]; RNA polymerase II sequence-specific DNA binding transcription factor binding [GO:0061629]; zinc ion binding [GO:0008270]"	"28.667219359533497"	"28.804363476829117"	"31.422985785687562"	"29.234344559763382"	"30.874134389123206"	"29.01190645098996"	"30.397304128882602"	"30.620221028292896"	"27.705624214557922"	"29.218350399069752"	"25.512618470269214"	"30.700331841297576"	"30.214089458778574"	"0.368845086675506"	"0.403112483909125"	"4"	"4"	"5"	"0.6936632038687769"	"-0.8620254186587779"	"-1.5556886225275548"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25314-MONOMER	"jgi|Yarlip1|124975|fgenesh1_kg.4_#_451_#_TRINITY_DN3721_c2_g1_i1"	"jgi|Yarlip1|124975|fgenesh1_kg.4_#_451_#_TRINITY_DN3721_c2_g1_i1"	"Q6C484"	"4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)"	"4-nitrophenol catabolic process [GO:0046196]"	"cytosol [GO:0005829]"	"alkaline phosphatase activity [GO:0004035]"	"30.49385870092578"	"31.91285399157821"	"32.280979739907316"	"30.183997475002702"	"28.602189414448926"	"30.53178163188134"		"31.958932071377998"	"33.780156595954594"	"28.84711934665215"	"29.69882609507081"	"24.00795663783702"	"36.01031504558299"	"0.924650500648326"	"0.573038280958182"	"4"	"3"	"5"	"-0.8536214376174129"	"-0.7490477326339864"	"0.10457370498342655"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25315-MONOMER	"jgi|Yarlip1|124976|fgenesh1_kg.4_#_452_#_TRINITY_DN1052_c0_g2_i1"	"jgi|Yarlip1|124976|fgenesh1_kg.4_#_452_#_TRINITY_DN1052_c0_g2_i1"	"B5FVF8"	"YALI0E28930p"	"0"	"integral component of membrane [GO:0016021]"	"0"	"35.63182455215051"	"35.71979672855998"	"35.04755831194642"	"35.38984316018289"	"35.58117167956929"	"35.55776326997766"	"35.10422890316039"	"35.727289967139065"	"35.39050699501421"	"35.33613968414768"	"35.52198018359226"	"35.43391558220767"	"35.33705327670759"	"0.845530572803887"	"0.550311861180834"	"4"	"4"	"5"	"0.04535776675164982"	"-0.043336543876066"	"-0.08869431062771582"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-27025-MONOMER	"jgi|Yarlip1|132265|fgenesh1_kg.28_#_16_#_TRINITY_DN6480_c0_g1_i1"	"jgi|Yarlip1|132265|fgenesh1_kg.28_#_16_#_TRINITY_DN6480_c0_g1_i1"	"Q6BZR9"	"YALI0F31383p"	"0"	"0"	"ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]"	"30.58503708193628"	"31.193325610634517"	"29.09159122981379"	"31.7060673905077"		"30.413378089731165"	"31.87734158354499"	"31.717960730985215"			"35.8122521816419"	"31.84557989786543"				"4"	"3"	"2"	"0.6922214731973853"	"3.184910711530595"	"2.4926892383332095"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25317-MONOMER	"jgi|Yarlip1|124981|fgenesh1_kg.4_#_457_#_TRINITY_DN2380_c0_g1_i1"	"jgi|Yarlip1|124981|fgenesh1_kg.4_#_457_#_TRINITY_DN2380_c0_g1_i1"	"Q6C482"	"Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)"	"'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]"	"cytoplasm [GO:0005737]"	"adenylosuccinate synthase activity [GO:0004019]; DNA replication origin binding [GO:0003688]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]"	"35.771131583724994"	"35.83715919115008"	"36.14893783787926"	"35.11974572616484"	"36.11471365897915"	"35.917916747968114"	"34.67859882619653"	"35.507406292451584"	"35.01353593145946"	"36.063913929956016"	"35.89282545588216"	"35.80330560946174"	"35.62306269450798"	"0.88577146058534"	"0.561659258703546"	"4"	"4"	"5"	"-0.1645847033309522"	"-0.03991486047632975"	"0.12466984285462246"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25319-MONOMER	"jgi|Yarlip1|124984|fgenesh1_kg.4_#_460_#_TRINITY_DN124_c0_g2_i1"	"jgi|Yarlip1|124984|fgenesh1_kg.4_#_460_#_TRINITY_DN124_c0_g2_i1"	"Q6C480"	"YALI0E29007p"	"RNA phosphodiester bond hydrolysis, endonucleolytic [GO:0090502]; tRNA processing [GO:0008033]"	"nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]"	"ribonuclease MRP activity [GO:0000171]; ribonuclease P activity [GO:0004526]"	"27.537640600373642"										"25.252378142071514"					"1"	"0"	"1"		"-2.285262458302128"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-24629-MONOMER	"jgi|Yarlip1|131623|fgenesh1_kg.21_#_171_#_TRINITY_DN2764_c0_g1_i1"	"jgi|Yarlip1|131623|fgenesh1_kg.21_#_171_#_TRINITY_DN2764_c0_g1_i1"	"Q6C5Z7"	"YALI0E13750p"	"cellular response to oxidative stress [GO:0034599]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; regulation of cell cycle [GO:0051726]"	"intracellular [GO:0005622]"	"ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]"			"29.486483525309165"		"28.734181864786468"	"31.662548102750097"	"30.926303845511466"	"29.381150577300172"	"31.155781324762245"	"30.623931250340853"	"30.24973738219238"	"32.04186916534939"	"28.951242688048882"			"1"	"4"	"5"	"0.689562572277886"	"1.1180288368295876"	"0.42846626455170167"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25322-MONOMER	"jgi|Yarlip1|124987|fgenesh1_kg.4_#_463_#_TRINITY_DN1326_c0_g1_i1"	"jgi|Yarlip1|124987|fgenesh1_kg.4_#_463_#_TRINITY_DN1326_c0_g1_i1"	"Q6C477"	"YALI0E29073p"	"cytoplasmic translation [GO:0002181]"	"cytosolic large ribosomal subunit [GO:0022625]"	"RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]"	"38.591243326336425"	"38.6875479297627"	"38.50869669145271"	"38.67159178628257"	"38.70998969460391"	"38.98720830280876"	"38.546037213905784"	"38.69451163784958"	"38.887098434555156"	"38.506038091250346"	"38.89555017122808"	"38.845388402812816"	"38.54776105622834"	"0.498727702489239"	"0.442824513205073"	"4"	"4"	"5"	"0.11966677883340537"	"0.12159729775633821"	"0.0019305189229328334"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25323-MONOMER	"jgi|Yarlip1|124991|fgenesh1_kg.4_#_467_#_TRINITY_DN2291_c0_g1_i1"	"jgi|Yarlip1|124991|fgenesh1_kg.4_#_467_#_TRINITY_DN2291_c0_g1_i1"	"F2Z673"	"YALI0E29095p"	"0"	"0"	"0"	"36.73829880133552"	"36.980375759022934"	"36.645685134990984"	"36.58854849859334"	"37.25649638147174"	"36.95760718857335"	"36.60337635737753"	"36.60242784909999"	"36.955686517199545"	"36.51669818897812"	"36.723518499637976"	"36.63398979184039"	"37.115992515270136"	"0.806895506784671"	"0.53855838400398"	"4"	"4"	"5"	"0.11674989564495775"	"0.05095005409953757"	"-0.06579984154542018"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25324-MONOMER	"jgi|Yarlip1|124992|fgenesh1_kg.4_#_468_#_TRINITY_DN901_c0_g1_i1"	"jgi|Yarlip1|124992|fgenesh1_kg.4_#_468_#_TRINITY_DN901_c0_g1_i1"	"Q6C475"	"YALI0E29117p"	"0"	"0"	"0"							"30.04635201657403"									"0"	"1"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-29168-MONOMER	"jgi|Yarlip1|128734|fgenesh1_kg.11_#_46_#_TRINITY_DN1474_c0_g1_i1"	"jgi|Yarlip1|128734|fgenesh1_kg.11_#_46_#_TRINITY_DN1474_c0_g1_i1"	"Q6CBC5"	"YALI0C20075p"	"tRNA transcription by RNA polymerase III [GO:0042797]"	"DNA-directed RNA polymerase I complex [GO:0005736]; DNA-directed RNA polymerase II, core complex [GO:0005665]; DNA-directed RNA polymerase III complex [GO:0005666]"	"DNA binding [GO:0003677]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; zinc ion binding [GO:0008270]"	"32.12256607616144"	"32.40970718768416"	"31.098394461381343"	"34.36170549692687"	"33.90858010940952"		"33.490108864427285"	"32.16379760409936"	"34.03925660208191"	"32.46698004283116"	"33.55005593767441"	"26.103996077969654"	"34.08353644029236"	"0.817479203587687"	"0.542175529745627"	"4"	"3"	"5"	"0.6894022204402717"	"-0.4493282853685514"	"-1.138730505808823"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-27867-MONOMER	"jgi|Yarlip1|126913|fgenesh1_kg.7_#_58_#_TRINITY_DN9821_c0_g1_i1"	"jgi|Yarlip1|126913|fgenesh1_kg.7_#_58_#_TRINITY_DN9821_c0_g1_i1"	"Q6C8P1"	"YALI0D18128p"	"0"	"0"	"0"		"26.240635589912173"					"27.7340849344454"	"26.109287080486354"	"31.53408186677601"				"28.309212927724083"			"1"	"2"	"2"	"0.6810504175537027"	"3.6810118073378746"	"2.999961389784172"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"99.85"	"99.85"
G1FV3-25329-MONOMER	"jgi|Yarlip1|124998|fgenesh1_kg.4_#_474_#_TRINITY_DN7671_c0_g1_i1"	"jgi|Yarlip1|124998|fgenesh1_kg.4_#_474_#_TRINITY_DN7671_c0_g1_i1"	"Q6C470"	"YALI0E29249p"	"autophagosome assembly [GO:0000045]; Golgi to plasma membrane protein transport [GO:0043001]; Golgi vesicle docking [GO:0048211]; inter-Golgi cisterna vesicle-mediated transport [GO:0048219]; SNARE complex disassembly [GO:0035494]; vacuole fusion, non-autophagic [GO:0042144]; vesicle fusion with Golgi apparatus [GO:0048280]"	"Golgi apparatus [GO:0005794]"	"ATPase activity [GO:0016887]; ATP binding [GO:0005524]; phosphatidic acid binding [GO:0070300]; SNARE binding [GO:0000149]"	"35.489816917834844"	"34.74108576180685"	"34.600630113416884"	"35.13035172582447"	"34.04122752614848"	"34.73634807252443"	"34.29986876089563"	"34.63055695124092"	"34.31104035112427"	"34.98414608693443"	"34.99070314297851"	"34.178833756275715"	"35.01790842627266"	"0.166644215027744"	"0.302620509171269"	"4"	"4"	"5"	"-0.5634708020183936"	"-0.2939447770036452"	"0.2695260250147484"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25331-MONOMER	"jgi|Yarlip1|125001|fgenesh1_kg.4_#_477_#_TRINITY_DN1679_c0_g2_i1"	"jgi|Yarlip1|125001|fgenesh1_kg.4_#_477_#_TRINITY_DN1679_c0_g2_i1"	"Q6C468"	"Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein)"	"mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]"	"nuclear cap binding complex [GO:0005846]; nucleus [GO:0005634]"	"RNA cap binding [GO:0000339]"	"30.60425908821782"	"31.82050203445857"	"32.16554767681469"		"30.941187273986202"	"29.744580117929793"		"31.591564461754153"	"30.911136669419363"	"31.499667196495192"	"30.251003608226657"	"31.79021013021992"	"29.876573385044168"	"0.493483303008587"	"0.441829003758019"	"3"	"3"	"5"	"-0.7709923152736451"	"-0.6643847352826313"	"0.10660757999101378"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25335-MONOMER	"jgi|Yarlip1|125007|fgenesh1_kg.4_#_483_#_TRINITY_DN10789_c0_g1_i1"	"jgi|Yarlip1|125007|fgenesh1_kg.4_#_483_#_TRINITY_DN10789_c0_g1_i1"	"Q6C464"	"YALI0E29359p"	"TOR signaling [GO:0031929]"	"TORC1 complex [GO:0031931]"	"0"	"25.670849633285567"	"29.783629848603347"	"29.286754462201937"	"31.152974436107822"		"28.80068426229231"	"28.772598195286665"	"26.955311835587402"		"28.551616067724446"		"28.24408853679912"				"4"	"3"	"2"	"-0.7973539973275443"	"-0.5756997927878871"	"0.22165420453965723"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25336-MONOMER	"jgi|Yarlip1|125008|fgenesh1_kg.4_#_484_#_TRINITY_DN8325_c0_g1_i1"	"jgi|Yarlip1|125008|fgenesh1_kg.4_#_484_#_TRINITY_DN8325_c0_g1_i1"	"Q6C463"	"YALI0E29381p"	"protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]"	"ubiquitin ligase complex [GO:0000151]"	"ubiquitin-ubiquitin ligase activity [GO:0034450]"			"24.560050563708074"													"1"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25339-MONOMER	"jgi|Yarlip1|125014|fgenesh1_kg.4_#_490_#_TRINITY_DN923_c2_g1_i1"	"jgi|Yarlip1|125014|fgenesh1_kg.4_#_490_#_TRINITY_DN923_c2_g1_i1"	"Q6C460"	"YALI0E29447p"	"vesicle-mediated transport [GO:0016192]"	"integral component of Golgi membrane [GO:0030173]"	"0"	"29.994828812999533"	"29.56345497276393"			"28.659795223828812"											"2"	"1"	"0"	"-1.11934666905292"			"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25343-MONOMER	"jgi|Yarlip1|125020|fgenesh1_kg.4_#_496_#_TRINITY_DN5067_c1_g1_i1"	"jgi|Yarlip1|125020|fgenesh1_kg.4_#_496_#_TRINITY_DN5067_c1_g1_i1"	"Q6C456"	"YALI0E29535p"	"0"	"nucleus [GO:0005634]"	"0"		"26.229016800906827"									"26.96179427818577"					"1"	"0"	"1"		"0.7327774772789439"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25344-MONOMER	"jgi|Yarlip1|125021|fgenesh1_kg.4_#_497_#_TRINITY_DN5067_c0_g1_i1"	"jgi|Yarlip1|125021|fgenesh1_kg.4_#_497_#_TRINITY_DN5067_c0_g1_i1"	"Q6C455"	"YALI0E29557p"	"0"	"0"	"0"			"26.47753693842947"													"1"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25345-MONOMER	"jgi|Yarlip1|125022|fgenesh1_kg.4_#_498_#_TRINITY_DN4542_c1_g1_i1"	"jgi|Yarlip1|125022|fgenesh1_kg.4_#_498_#_TRINITY_DN4542_c1_g1_i1"	"Q6C454"	"Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)"	"fungal-type cell wall chitin biosynthetic process [GO:0034221]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]"	"cytosol [GO:0005829]"	"magnesium ion binding [GO:0000287]; phosphoacetylglucosamine mutase activity [GO:0004610]"	"34.2270094312214"	"34.71447210339354"	"33.34732446349399"	"34.07427691682133"	"34.44614425172259"	"33.18379255233695"	"33.557325463377374"	"33.39427813136586"	"33.24847513350753"	"33.926133709682674"	"34.2180811377155"	"33.464450675483974"	"33.59575693665921"	"0.40276914309579"	"0.412974514864342"	"4"	"4"	"5"	"-0.4453856290318683"	"-0.4001912101227916"	"0.04519441890907672"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25346-MONOMER	"jgi|Yarlip1|125024|fgenesh1_kg.4_#_500_#_TRINITY_DN3529_c0_g1_i1"	"jgi|Yarlip1|125024|fgenesh1_kg.4_#_500_#_TRINITY_DN3529_c0_g1_i1"	"Q6C453"	"YALI0E29601p"	"free ubiquitin chain polymerization [GO:0010994]; postreplication repair [GO:0006301]; protein K63-linked ubiquitination [GO:0070534]"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; ubiquitin conjugating enzyme complex [GO:0031371]"	"ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]"	"31.301547530481653"	"29.382923943447597"	"34.688742908416486"	"30.437459499054132"	"31.74976725529802"	"30.325516689547555"	"31.471100610100972"	"28.66563459047906"	"32.082972058946524"	"31.482432496788835"	"31.190704502392286"	"30.716170700337518"	"31.548099034705327"	"0.640727768994743"	"0.494597207313248"	"4"	"4"	"5"	"-0.8996636839935626"	"-0.048592711715873094"	"0.8510709722776895"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25362-MONOMER	"jgi|Yarlip1|125044|fgenesh1_kg.4_#_520_#_TRINITY_DN3911_c0_g1_i1"	"jgi|Yarlip1|125044|fgenesh1_kg.4_#_520_#_TRINITY_DN3911_c0_g1_i1"	"Q6C439"	"YALI0E29953p"	"GPI anchor biosynthetic process [GO:0006506]"	"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex [GO:0000506]; integral component of membrane [GO:0016021]"	"phosphatidylinositol N-acetylglucosaminyltransferase activity [GO:0017176]"								"25.170813839667957"								"0"	"1"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-30209-MONOMER	"jgi|Yarlip1|129412|fgenesh1_kg.13_#_10_#_TRINITY_DN6240_c0_g1_i1"	"jgi|Yarlip1|129412|fgenesh1_kg.13_#_10_#_TRINITY_DN6240_c0_g1_i1"	"Q6CE32"	"YALI0B18964p"	"0"	"0"	"0"	"33.4657469251874"	"26.508181401902725"	"27.313803502075302"	"30.745145364265344"	"26.716726746724156"	"30.364173103448653"	"33.177951418212935"	"30.493302716600223"	"29.97323730239569"	"31.21097137804489"	"30.804702730582143"	"30.57675052750629"	"30.159585138883063"	"0.800367676622957"	"0.536719456559465"	"4"	"4"	"5"	"0.6798191978887971"	"1.036830117124719"	"0.3570109192359219"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25364-MONOMER	"jgi|Yarlip1|125049|fgenesh1_kg.4_#_525_#_TRINITY_DN2053_c0_g1_i1"	"jgi|Yarlip1|125049|fgenesh1_kg.4_#_525_#_TRINITY_DN2053_c0_g1_i1"	"Q6C437"	"YALI0E29997p"	"0"	"0"	"0"	"31.1282936301102"												"30.141874627618318"			"1"	"0"	"1"		"-0.986419002491882"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25365-MONOMER	"jgi|Yarlip1|125051|fgenesh1_kg.4_#_527_#_TRINITY_DN7938_c0_g1_i1"	"jgi|Yarlip1|125051|fgenesh1_kg.4_#_527_#_TRINITY_DN7938_c0_g1_i1"	"Q6C436"	"YALI0E30019p"	"rRNA base methylation [GO:0070475]"	"cytoplasm [GO:0005737]"	"rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]"					"25.567439021503883"							"25.06821113748344"				"0"	"1"	"1"			"-0.49922788402044205"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25369-MONOMER	"jgi|Yarlip1|125056|fgenesh1_kg.4_#_532_#_TRINITY_DN1011_c0_g2_i1"	"jgi|Yarlip1|125056|fgenesh1_kg.4_#_532_#_TRINITY_DN1011_c0_g2_i1"	"Q6C433"	"YALI0E30129p"	"glutathione biosynthetic process [GO:0006750]"	"cytoplasm [GO:0005737]"	"glutamate-cysteine ligase activity [GO:0004357]"	"32.37275244884489"	"32.49969808085245"	"33.2082712456027"	"33.195223336819986"	"32.62104333793599"	"32.12344176979669"	"33.034046273799156"	"33.21803839778003"	"33.275699112716154"	"33.636046122598856"	"31.14691045088663"	"33.314915113305084"	"33.10527615179259"	"0.955571783167105"	"0.579927680377133"	"4"	"4"	"5"	"-0.06984383320204302"	"0.07678311222985457"	"0.14662694543189758"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25370-MONOMER	"jgi|Yarlip1|125058|fgenesh1_kg.4_#_534_#_TRINITY_DN1011_c1_g1_i1"	"jgi|Yarlip1|125058|fgenesh1_kg.4_#_534_#_TRINITY_DN1011_c1_g1_i1"	"Q6C432"	"YALI0E30151p"	"0"	"0"	"peptide-methionine (S)-S-oxide reductase activity [GO:0008113]"						"29.08042643020111"										"0"	"1"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
